	NBBag_k7_fi0.5_euclidean	NBBag_k7_fi1_euclidean	NBBag_k7_fi1.5_euclidean	NBBag_k7_fi2_euclidean
ecoli-0_vs_1	[]	[]	[]	[]
ecoli1	[]	[]	[]	[]
ecoli2	[]	[]	[]	[1]
ecoli3	[]	[]	[]	[]
glass-0-1-2-3_vs_4-5-6	[]	[]	[]	[]
glass0	[]	[]	[]	[]
glass1	[]	[]	[]	[1, 2, 3]
glass6	[]	[]	[]	[]
haberman	[]	[]	[]	[3]
iris0	[]	[]	[]	[]
new-thyroid1	[]	[]	[]	[]
newthyroid2	[]	[]	[]	[]
page-blocks0	[]	[1]	[]	[]
pima	[]	[]	[]	[]
segment0	[]	[]	[]	[]
vehicle0	[]	[]	[]	[]
vehicle1	[]	[]	[]	[]
vehicle2	[]	[]	[]	[]
vehicle3	[]	[]	[]	[]
wisconsin	[]	[]	[]	[]
yeast1	[]	[]	[]	[]
yeast3	[]	[]	[]	[]
