	NBBag_k7_fi1_chebyshev	NBBag_k7_fi1_cosine	NBBag_k7_fi1_euclidean	NBBag_k7_fi1_manhattan
ecoli-0_vs_1	[]	[]	[]	[]
ecoli1	[]	[]	[]	[]
ecoli2	[]	[]	[]	[]
ecoli3	[]	[]	[]	[]
glass-0-1-2-3_vs_4-5-6	[]	[]	[]	[]
glass0	[]	[]	[]	[]
glass1	[]	[]	[]	[]
glass6	[]	[]	[]	[]
haberman	[]	[]	[]	[]
iris0	[]	[]	[]	[]
new-thyroid1	[]	[]	[]	[]
newthyroid2	[]	[]	[]	[]
page-blocks0	[]	[]	[]	[3]
pima	[]	[]	[]	[]
segment0	[]	[]	[]	[]
vehicle0	[]	[]	[]	[]
vehicle1	[]	[]	[]	[]
vehicle2	[2]	[]	[]	[]
vehicle3	[]	[]	[]	[]
wisconsin	[]	[]	[]	[]
yeast1	[]	[]	[]	[]
yeast3	[]	[]	[]	[]
