	NBBag_k3_fi2_chebyshev	NBBag_k5_fi2_chebyshev	NBBag_k7_fi2_chebyshev	NBBag_k9_fi2_chebyshev	NBBag_k11_fi2_chebyshev	NBBag_k7_fi1_chebyshev
ecoli-0_vs_1	[]	[]	[]	[]	[]	[]
ecoli1	[5]	[]	[]	[]	[]	[5]
ecoli2	[]	[]	[]	[]	[]	[]
ecoli3	[]	[]	[]	[2, 3]	[]	[2]
glass-0-1-2-3_vs_4-5-6	[]	[]	[]	[]	[]	[]
glass0	[]	[]	[6]	[]	[]	[]
glass1	[]	[]	[]	[]	[]	[]
glass6	[]	[]	[]	[]	[]	[]
haberman	[]	[]	[2, 4]	[]	[]	[]
iris0	[]	[]	[]	[]	[]	[]
new-thyroid1	[]	[]	[]	[]	[]	[]
newthyroid2	[]	[]	[]	[]	[]	[]
page-blocks0	[]	[]	[]	[]	[]	[1, 2, 4]
pima	[3, 5]	[3, 5]	[]	[]	[]	[3, 5]
segment0	[]	[]	[]	[]	[]	[]
vehicle0	[]	[1, 6]	[]	[5]	[]	[]
vehicle1	[]	[]	[]	[]	[]	[]
vehicle2	[]	[]	[]	[]	[]	[]
vehicle3	[]	[]	[]	[]	[]	[]
wisconsin	[]	[]	[]	[]	[]	[]
yeast1	[]	[]	[]	[]	[]	[]
yeast3	[]	[]	[]	[6]	[]	[]
