	NBBag_k3_fi1_euclidean	NBBag_k5_fi1_euclidean	NBBag_k7_fi1_euclidean	NBBag_k9_fi1_euclidean	NBBag_k11_fi1_euclidean
ecoli-0_vs_1	[]	[]	[]	[]	[]
ecoli1	[]	[]	[]	[]	[]
ecoli2	[]	[]	[]	[]	[]
ecoli3	[]	[]	[]	[]	[]
glass-0-1-2-3_vs_4-5-6	[]	[]	[]	[]	[]
glass0	[]	[]	[]	[]	[]
glass1	[2]	[]	[]	[2, 5]	[]
glass6	[]	[]	[]	[]	[]
haberman	[]	[]	[]	[]	[4]
iris0	[]	[]	[]	[]	[]
new-thyroid1	[]	[]	[]	[]	[]
newthyroid2	[]	[]	[]	[]	[]
page-blocks0	[]	[]	[]	[]	[]
pima	[]	[]	[]	[]	[]
segment0	[]	[]	[]	[]	[]
vehicle0	[]	[]	[]	[]	[]
vehicle1	[]	[]	[]	[]	[]
vehicle2	[]	[]	[]	[]	[]
vehicle3	[]	[]	[]	[]	[]
wisconsin	[]	[]	[]	[]	[]
yeast1	[]	[]	[]	[]	[]
yeast3	[]	[]	[]	[]	[]
